"ext_service_name","weekday_cat","avg_budget_per_day","avg_impressions_cpm","impressions_per_day","avg_clicks_cpm","clicks_per_day","avg_media_cost_per_day","avg_over_budget"
"DV360","week_day","83.36","654.95","216.00","62131.89","7.32","1.98","4213.60"
"DV360","week_end","85.06","630.46","261.75","59041.23","9.70","2.55","4248.38"
"Facebook Ads","week_day","88.90","644.81","225.35","60848.83","7.65","2.17","4248.59"
"Facebook Ads","week_end","97.45","620.77","252.59","59980.44","10.79","2.63","4128.91"
"Google Ads","week_day","84.62","652.04","212.02","61841.74","6.47","1.96","4319.30"
"Google Ads","week_end","77.68","650.00","192.98","62576.03","6.37","1.88","4222.73"
