"timezone","avg_budget_per_day","avg_impressions_cpm","impressions_per_day","avg_clicks_cpm","clicks_per_day","avg_media_cost_per_day","avg_over_budget"
"Africa/Cairo","20.80","303.61","109.57","28297.49","3.21","0.82","6483.44"
"America/New_York","6.99","958.40","7.79","94149.18","0.00","0.07","10876.61"
"Asia/Calcutta","154.46","355.00","392.27","17006.64","9.97","7.88","2191.94"
"Asia/Kolkata","94.88","618.19","244.71","58322.94","8.31","2.29","3482.94"
"Asia/Muscat","78.93","276.69","226.62","30041.17","2.04","3.57","6261.85"
"Asia/Singapore","74.33","407.31","211.20","32583.99","2.80","8.85","-340.17"
"US/Eastern","311.41","2762.93","107.11","137632.98","2.09","6.01","1700.00"
