"channel_name","avg_budget_per_day","avg_impressions_cpm","impressions_per_day","avg_clicks_cpm","clicks_per_day","avg_media_cost_per_day","avg_over_budget"
"Display","85.90","648.95","220.80","61111.98","7.70","2.06","4215.67"
"Mobile","89.46","648.01","220.78","61269.59","7.40","2.15","4330.70"
"Search","84.70","650.09","216.11","62464.06","7.50","2.03","4275.25"
"Social","85.48","646.47","225.94","61878.80","7.50","2.12","4217.26"
"Video","83.38","647.62","218.06","60550.36","6.92","2.04","4220.88"
